Bug_Number,Summary,Platform,Component,Version,Creation_Time,Whiteboard,QA_Whiteboard,First_Comment_Text,First_Comment_Creation_Time,Status,Product,Priority,Resolution,Severity,Is_Confirmed,br_name,br_desc
1270983,Intermittent browser_contextmenu.jsTest timed outFound a tab after previous test timed out: subtst_contextmenu.html -,Unspecified,Menus,49 Branch,2016-05-06T22:06:20Z,[stockwell fixed],,https://treeherder.mozilla.org/logviewer.html#?job_id=27382999&repo=mozilla-inbound,2016-05-06T22:06:20Z,RESOLVED,Firefox,P3,FIXED,normal,True,BR_1270983_SRC,1270983 Intermittent browser_contextmenu.jsTest timed outFound a tab after previous test timed out: subtst_contextmenu.html - Unspecified Menus 49 Branch 2016-05-06T22:06:20Z [stockwell fixed] nan https://treeherder.mozilla.org/logviewer.html#?job_id=27382999&repo=mozilla-inbound 2016-05-06T22:06:20Z RESOLVED Firefox P3 FIXED normal True BR_1270983_SRC
1271607,The new window's size is modified if the last closed window had pinned tabs,All,General,48 Branch,2016-05-10T12:02:30Z,tpi:+,[good first verify],"Created attachment 8750748 Recording #1.mp4  Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0 Build ID: 20160509040557  [Affected versions]: - Firefox Nightly 49.0a1 - Firefox Developer Edition 48.0a2  [Affected platforms]: - Mac OS X  [Steps to reproduce]: 1. Launch Firefox with a new profile 2. Pin 2 tabs  3. Close Firefox by clicking on the ""x"" button located on the upper left side of the window 4. In the Dock bar, click on the Firefox icon to open a new window   [Expected result]: The size of the new window should be the same as the size of the last closed window.  [Actual result]: The new window is shrunk. Please see the screencast for more details.  [Regression range]: - This is a regression, I will come back with the regression window as soon as possible.  [Additional notes]: - Not reproducible on Firefox 46.0.1 RC and on Firefox 47 beta 3.",2016-05-10T12:02:30Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1271607_SRC,"1271607 The new window's size is modified if the last closed window had pinned tabs All General 48 Branch 2016-05-10T12:02:30Z tpi:+ [good first verify] Created attachment 8750748 Recording #1.mp4  Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0 Build ID: 20160509040557  [Affected versions]: - Firefox Nightly 49.0a1 - Firefox Developer Edition 48.0a2  [Affected platforms]: - Mac OS X  [Steps to reproduce]: 1. Launch Firefox with a new profile 2. Pin 2 tabs  3. Close Firefox by clicking on the ""x"" button located on the upper left side of the window 4. In the Dock bar, click on the Firefox icon to open a new window   [Expected result]: The size of the new window should be the same as the size of the last closed window.  [Actual result]: The new window is shrunk. Please see the screencast for more details.  [Regression range]: - This is a regression, I will come back with the regression window as soon as possible.  [Additional notes]: - Not reproducible on Firefox 46.0.1 RC and on Firefox 47 beta 3. 2016-05-10T12:02:30Z RESOLVED Firefox P1 FIXED normal True BR_1271607_SRC"
1276120,Autocomplete suggestions just don't go away after Win+Down,Unspecified,Address Bar,48 Branch,2016-05-27T02:34:32Z,[fxsearch],[good first verify] [bugday-20160713],"Created attachment 8757112 screenshot 1 - Autocomplete suggestions just don't go away.png  >>>   My Info:   Win7_64, Nightly 49, 32bit, ID 20160426044609 STR: 1. Open new window, switch it to normal (not maximized) mode 2. Focus urlbar, type ""a"" 3. Press Win+Down 4. Click button on Windows Taskbar to open the window again 5.(bonus) Focus searchbar, type ""b"". Move the window a bit (drag-n-drop)  AR:  After step 4 autocomplete suggestions are open. They don't hide/move in Step 5. ER:  Either no autocomplete suggestions after step 4, or something more smart.  This is regression from bug 1264983. Regression range: > https://hg.mozilla.org/integration/fx-team/pushloghtml?fromchange=9774863180f92d75e7851f138bed71fe9828122a&tochange=45f98cbddc015c5659abe141de0b8fa6bd534051",2016-05-27T02:34:32Z,RESOLVED,Firefox,P2,FIXED,normal,True,BR_1276120_SRC,"1276120 Autocomplete suggestions just don't go away after Win+Down Unspecified Address Bar 48 Branch 2016-05-27T02:34:32Z [fxsearch] [good first verify] [bugday-20160713] Created attachment 8757112 screenshot 1 - Autocomplete suggestions just don't go away.png  >>>   My Info:   Win7_64, Nightly 49, 32bit, ID 20160426044609 STR: 1. Open new window, switch it to normal (not maximized) mode 2. Focus urlbar, type ""a"" 3. Press Win+Down 4. Click button on Windows Taskbar to open the window again 5.(bonus) Focus searchbar, type ""b"". Move the window a bit (drag-n-drop)  AR:  After step 4 autocomplete suggestions are open. They don't hide/move in Step 5. ER:  Either no autocomplete suggestions after step 4, or something more smart.  This is regression from bug 1264983. Regression range: > https://hg.mozilla.org/integration/fx-team/pushloghtml?fromchange=9774863180f92d75e7851f138bed71fe9828122a&tochange=45f98cbddc015c5659abe141de0b8fa6bd534051 2016-05-27T02:34:32Z RESOLVED Firefox P2 FIXED normal True BR_1276120_SRC"
1277937,https has an underline instead of a strikethrough when mixed active content is loaded,Unspecified,General,48 Branch,2016-06-03T19:35:45Z,[fxprivacy],,"STR: 1) Go to https://people.mozilla.org/~tvyas/mixedcontent.html 2) Open the control center, go to the submenu. 3) Click Disable Protection 4) observe the url bar.  It should show an crossed out grey lock and a crossed out https, like the fourth picture in the second column here: https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/security/files/2015/10/combo-graph21.png.  It actually looks like a crossed out lock with an *underlined https*.  Why did the https switch from being struck through to underlined?  What release did this issue occur in?  Sometime between 46 and 49.  In 46 it looks good, in 49 it does not.     +++ This bug was initially created as a clone of Bug #1253771 +++  (In reply to Tanvi Vyas - behind on reviews [:tanvi] from comment #21) > (In reply to Johann Hofmann [:johannh] from comment #18) > > (In reply to agrigas from comment #17) > > > Also the https shouldnt have a line under it... > >  > > When I visit a site like https://mixed-script.badssl.com/ and turn off > > protection then it has that line on my Aurora/DevEdition and Nightly, but > > not on stable Firefox. Is that a bug? We should really fix it then. >  > That seems like a bad regression!  We do not want to underline https when > protection is disabled!  It is supposed to be struck through.  On Firefox 46 > release, I see a struck through https in the url bar when we disable > protection.  But on Nightly, I see an underlined https in the url bar.  That > is no good! >  > https://people.mozilla.com/~tvyas/mixedcontent.html",2016-06-03T19:35:45Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1277937_SRC,"1277937 https has an underline instead of a strikethrough when mixed active content is loaded Unspecified General 48 Branch 2016-06-03T19:35:45Z [fxprivacy] nan STR: 1) Go to https://people.mozilla.org/~tvyas/mixedcontent.html 2) Open the control center, go to the submenu. 3) Click Disable Protection 4) observe the url bar.  It should show an crossed out grey lock and a crossed out https, like the fourth picture in the second column here: https://ffp4g1ylyit3jdyti1hqcvtb-wpengine.netdna-ssl.com/security/files/2015/10/combo-graph21.png.  It actually looks like a crossed out lock with an *underlined https*.  Why did the https switch from being struck through to underlined?  What release did this issue occur in?  Sometime between 46 and 49.  In 46 it looks good, in 49 it does not.     +++ This bug was initially created as a clone of Bug #1253771 +++  (In reply to Tanvi Vyas - behind on reviews [:tanvi] from comment #21) > (In reply to Johann Hofmann [:johannh] from comment #18) > > (In reply to agrigas from comment #17) > > > Also the https shouldnt have a line under it... > >  > > When I visit a site like https://mixed-script.badssl.com/ and turn off > > protection then it has that line on my Aurora/DevEdition and Nightly, but > > not on stable Firefox. Is that a bug? We should really fix it then. >  > That seems like a bad regression!  We do not want to underline https when > protection is disabled!  It is supposed to be struck through.  On Firefox 46 > release, I see a struck through https in the url bar when we disable > protection.  But on Nightly, I see an underlined https in the url bar.  That > is no good! >  > https://people.mozilla.com/~tvyas/mixedcontent.html 2016-06-03T19:35:45Z VERIFIED Firefox P1 FIXED normal True BR_1277937_SRC"
1278388,Permafailing on the change to firefox50: browser_permissions_urlFieldHidden.jsuncaught exception - Error: Expected one argument at showNotificationExceptions@content.js:136:5,Unspecified,Preferences,49 Branch,2016-06-06T21:45:20Z,,,https://treeherder.mozilla.org/logviewer.html#?job_id=4024279&repo=mozilla-central  Disabling soon.,2016-06-06T21:45:20Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1278388_SRC,1278388 Permafailing on the change to firefox50: browser_permissions_urlFieldHidden.jsuncaught exception - Error: Expected one argument at showNotificationExceptions@content.js:136:5 Unspecified Preferences 49 Branch 2016-06-06T21:45:20Z nan nan https://treeherder.mozilla.org/logviewer.html#?job_id=4024279&repo=mozilla-central  Disabling soon. 2016-06-06T21:45:20Z RESOLVED Firefox P1 FIXED normal True BR_1278388_SRC
1279140,awesomebar displaying incorrect text UI for containers,x86,General,49 Branch,2016-06-09T04:54:21Z,"[usercontextId], [domsecurity-active][uplift49+]",,"Created attachment 8761465 issue1.png  I ran into an issue where the container text UI under the awesome bar was incorrectly displaying the wrong description. Both the tab colour and the awesome bar image were correct, but the text portion of the UI was always displaying ""Shopping"" as it's text. I'll try reproducing and getting some STR, but in the meantime, I created this bug so we're aware that this is happening.  Examples:  * issue1.png - personal container (blue), using the correct image, however, the text UI is displaying ""Shopping"" * issue2.png - work container (orange), using the correct image, however, the text UI is displaying ""Shopping""  Build Used: * fx50.0a1, buildID: 20160608030219, changeset: f8ad071a6e14 * https://archive.mozilla.org/pub/firefox/nightly/2016/06/2016-06-08-03-02-19-mozilla-central/",2016-06-09T04:54:21Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1279140_SRC,"1279140 awesomebar displaying incorrect text UI for containers x86 General 49 Branch 2016-06-09T04:54:21Z [usercontextId], [domsecurity-active][uplift49+] nan Created attachment 8761465 issue1.png  I ran into an issue where the container text UI under the awesome bar was incorrectly displaying the wrong description. Both the tab colour and the awesome bar image were correct, but the text portion of the UI was always displaying ""Shopping"" as it's text. I'll try reproducing and getting some STR, but in the meantime, I created this bug so we're aware that this is happening.  Examples:  * issue1.png - personal container (blue), using the correct image, however, the text UI is displaying ""Shopping"" * issue2.png - work container (orange), using the correct image, however, the text UI is displaying ""Shopping""  Build Used: * fx50.0a1, buildID: 20160608030219, changeset: f8ad071a6e14 * https://archive.mozilla.org/pub/firefox/nightly/2016/06/2016-06-08-03-02-19-mozilla-central/ 2016-06-09T04:54:21Z VERIFIED Firefox P1 FIXED normal True BR_1279140_SRC"
1279143,"color indicator missing when ""File -> New Container Tab"" without any windows opened",x86,Tabbed Browser,49 Branch,2016-06-09T05:20:30Z,"[usercontextId], [domsecurity-active][uplift49+]",,"Created attachment 8761470 issue.png  When opening a container via ""File -> New Container Tab"" under OSX while there's no windows currently opened, the colour indicator doesn't appear above the tab. The UI in the awesomebar is correctly displayed, but the colour indicator on top of the tab is missing.  * attached a screenshot to illustrate the issue  STR:  * open m-c and ensure containers are enabled via ""privacy.userContext.enabled;true"" * close all the windows currently opened * select File -> New Container Tab -> Personal Container  You'll notice that the UI under the awesomebar is correctly being displayed, but the colour indicator at the top of the tab is missing.  Build Used: * fx50.0a1, buildID: 20160608030219, changeset: f8ad071a6e14 * https://archive.mozilla.org/pub/firefox/nightly/2016/06/2016-06-08-03-02-19-mozilla-central/",2016-06-09T05:20:30Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1279143_SRC,"1279143 color indicator missing when ""File -> New Container Tab"" without any windows opened x86 Tabbed Browser 49 Branch 2016-06-09T05:20:30Z [usercontextId], [domsecurity-active][uplift49+] nan Created attachment 8761470 issue.png  When opening a container via ""File -> New Container Tab"" under OSX while there's no windows currently opened, the colour indicator doesn't appear above the tab. The UI in the awesomebar is correctly displayed, but the colour indicator on top of the tab is missing.  * attached a screenshot to illustrate the issue  STR:  * open m-c and ensure containers are enabled via ""privacy.userContext.enabled;true"" * close all the windows currently opened * select File -> New Container Tab -> Personal Container  You'll notice that the UI under the awesomebar is correctly being displayed, but the colour indicator at the top of the tab is missing.  Build Used: * fx50.0a1, buildID: 20160608030219, changeset: f8ad071a6e14 * https://archive.mozilla.org/pub/firefox/nightly/2016/06/2016-06-08-03-02-19-mozilla-central/ 2016-06-09T05:20:30Z VERIFIED Firefox P1 FIXED normal True BR_1279143_SRC"
1279864,The new location bar autocomplete drop down menu starting from 48 has serious performance issue and often blocks user's <Enter> input,Unspecified,Address Bar,48 Branch,2016-06-13T08:24:15Z,[fxsearch],,"User Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0 Build ID: 20160606200529  Steps to reproduce:  It's very obvious when you copy some keywords (for search) or URL externally and paste it to location bar.   Try copy some keywords to location bar and follow a quick enter. In 47 Firefox will respond instantly and start to load in no time. However in 48, it often takes a while (~1s) to respond.  It gets better after you used it several times (I guess it has some cache mechanism), but still feel really lagging.  I also want to node the severity of this performance issue highly depends on your history/bookmark size. It goes much more smooth if you have a brand new profile. I personally have very heavy profile with 6 months history and around 1k bookmarks. That said, there is no such lag in 47's old location bar.",2016-06-13T08:24:15Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1279864_SRC,"1279864 The new location bar autocomplete drop down menu starting from 48 has serious performance issue and often blocks user's <Enter> input Unspecified Address Bar 48 Branch 2016-06-13T08:24:15Z [fxsearch] nan User Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0 Build ID: 20160606200529  Steps to reproduce:  It's very obvious when you copy some keywords (for search) or URL externally and paste it to location bar.   Try copy some keywords to location bar and follow a quick enter. In 47 Firefox will respond instantly and start to load in no time. However in 48, it often takes a while (~1s) to respond.  It gets better after you used it several times (I guess it has some cache mechanism), but still feel really lagging.  I also want to node the severity of this performance issue highly depends on your history/bookmark size. It goes much more smooth if you have a brand new profile. I personally have very heavy profile with 6 months history and around 1k bookmarks. That said, there is no such lag in 47's old location bar. 2016-06-13T08:24:15Z VERIFIED Firefox P1 FIXED normal True BR_1279864_SRC"
1281190,Keep collecting telemetry for Permissions Notifications until version 55,Unspecified,General,49 Branch,2016-06-21T15:20:31Z,[fxprivacy],,POPUP_NOTIFICATION_STATS is expiring soon [1]. We should remove it unless there's a compelling reason to keep collecting it.  [1]: https://mail.mozilla.org/pipermail/firefox-dev/2016-June/004374.html,2016-06-21T15:20:31Z,RESOLVED,Firefox,P2,FIXED,normal,True,BR_1281190_SRC,1281190 Keep collecting telemetry for Permissions Notifications until version 55 Unspecified General 49 Branch 2016-06-21T15:20:31Z [fxprivacy] nan POPUP_NOTIFICATION_STATS is expiring soon [1]. We should remove it unless there's a compelling reason to keep collecting it.  [1]: https://mail.mozilla.org/pipermail/firefox-dev/2016-June/004374.html 2016-06-21T15:20:31Z RESOLVED Firefox P2 FIXED normal True BR_1281190_SRC
1281493,"Identity popup sometimes doesn't display EV/DV site identity above ""Secure connection"" label",Unspecified,Address Bar,48 Branch,2016-06-22T15:10:26Z,[fxprivacy] ,,"Seen on 48b1. I'm not sure what's triggering this yet - it works fine in a new window. It feels like it broke due to something or other, and now is permanently broken. Or something. :-\",2016-06-22T15:10:26Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1281493_SRC,"1281493 Identity popup sometimes doesn't display EV/DV site identity above ""Secure connection"" label Unspecified Address Bar 48 Branch 2016-06-22T15:10:26Z [fxprivacy]  nan Seen on 48b1. I'm not sure what's triggering this yet - it works fine in a new window. It feels like it broke due to something or other, and now is permanently broken. Or something. :-\ 2016-06-22T15:10:26Z VERIFIED Firefox P1 FIXED normal True BR_1281493_SRC"
1282759,Support whole word search for find in page,Unspecified,PDF Viewer,50 Branch,2016-06-28T12:57:18Z,[pdfjs-c-feature],,"Since bug 269442, the find toolbar support a new mode, called 'Whole Words', which only matches strings surrounded by word-breaking characters, like spaces or punctuation marks in latin-derived languages.  As you might know, this is the default matching mode for the find toolbars in Webkit/ Blink based browsers.  The implementation uses the term 'entireword', not 'wholeword' as you might think. This is due to historical reasons that are not very interesting for this bug ;-)",2016-06-28T12:57:18Z,VERIFIED,Firefox,P3,FIXED,normal,True,BR_1282759_SRC,"1282759 Support whole word search for find in page Unspecified PDF Viewer 50 Branch 2016-06-28T12:57:18Z [pdfjs-c-feature] nan Since bug 269442, the find toolbar support a new mode, called 'Whole Words', which only matches strings surrounded by word-breaking characters, like spaces or punctuation marks in latin-derived languages.  As you might know, this is the default matching mode for the find toolbars in Webkit/ Blink based browsers.  The implementation uses the term 'entireword', not 'wholeword' as you might think. This is due to historical reasons that are not very interesting for this bug ;-) 2016-06-28T12:57:18Z VERIFIED Firefox P3 FIXED normal True BR_1282759_SRC"
1283542,Automigration from Chrome is broken,Unspecified,Migration,50 Branch,2016-06-30T16:37:26Z,[migration-needs-uplift],,"The code and tests expect to deal with profile IDs, but the MigrationUtils code expects profile objects. That's fine for browsers with no profile support, but not for Chrome.",2016-06-30T16:37:26Z,RESOLVED,Firefox,P2,FIXED,normal,True,BR_1283542_SRC,"1283542 Automigration from Chrome is broken Unspecified Migration 50 Branch 2016-06-30T16:37:26Z [migration-needs-uplift] nan The code and tests expect to deal with profile IDs, but the MigrationUtils code expects profile objects. That's fine for browsers with no profile support, but not for Chrome. 2016-06-30T16:37:26Z RESOLVED Firefox P2 FIXED normal True BR_1283542_SRC"
1285041,Investigate Chrome profile migration importing history when chrome is running,Unspecified,Migration,50 Branch,2016-07-06T22:35:06Z,,,"After some feedback from our automigration project I looked into this a bit.  Apparently SQLite supports a 'read only' flag for opening db connections. Unfortunately, as far as I can tell, it doesn't actually help... I have a wip patch to add support to our sqlite.jsm wrapper, but the SELECT call on the url table still fails, presumably because Chrome keeps an EXCLUSIVE (https://www.sqlite.org/lockingv3.html ) lock on the DB. I haven't found a way of obtaining the data in this case, though maybe we can just copy the file and then read it, or something? Marco, do you know what our options are here? I think it's OK to not get everything, as opposed to getting absolutely nothing.",2016-07-06T22:35:06Z,RESOLVED,Firefox,P3,FIXED,normal,True,BR_1285041_SRC,"1285041 Investigate Chrome profile migration importing history when chrome is running Unspecified Migration 50 Branch 2016-07-06T22:35:06Z nan nan After some feedback from our automigration project I looked into this a bit.  Apparently SQLite supports a 'read only' flag for opening db connections. Unfortunately, as far as I can tell, it doesn't actually help... I have a wip patch to add support to our sqlite.jsm wrapper, but the SELECT call on the url table still fails, presumably because Chrome keeps an EXCLUSIVE (https://www.sqlite.org/lockingv3.html ) lock on the DB. I haven't found a way of obtaining the data in this case, though maybe we can just copy the file and then read it, or something? Marco, do you know what our options are here? I think it's OK to not get everything, as opposed to getting absolutely nothing. 2016-07-06T22:35:06Z RESOLVED Firefox P3 FIXED normal True BR_1285041_SRC"
1285328,"Hitting Escape or the X on the ""Restart Firefox"" dialog when enabling ""Never remember history"" is treated as a confirmation",Unspecified,Preferences,49 Branch,2016-07-07T19:03:07Z,[outreachy-12],[bugday-20160727],"STR: Open Preferences > Privacy In the History dropdown, select ""Never remember history"" When the dialog appears, hit Escape on the keyboard  Expected results: The ""Revert"" option is chosen and Firefox doesn't restart  Actual results: Firefox restarts and loses all history",2016-07-07T19:03:07Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1285328_SRC,"1285328 Hitting Escape or the X on the ""Restart Firefox"" dialog when enabling ""Never remember history"" is treated as a confirmation Unspecified Preferences 49 Branch 2016-07-07T19:03:07Z [outreachy-12] [bugday-20160727] STR: Open Preferences > Privacy In the History dropdown, select ""Never remember history"" When the dialog appears, hit Escape on the keyboard  Expected results: The ""Revert"" option is chosen and Firefox doesn't restart  Actual results: Firefox restarts and loses all history 2016-07-07T19:03:07Z VERIFIED Firefox P1 FIXED normal True BR_1285328_SRC"
1287384,Incorrect alignment of Summary section in Downloads panel,Unspecified,Downloads Panel,50 Branch,2016-07-18T08:46:14Z,,[testday-20160826] [good first verify],"Created attachment 8771903 Screen Shot 2016-07-18 at 14.43.57.png  Sean Lee [:seanlee][:weilonge]   The attachment is an screenshot for showing a bigger .downloadTypeIcon . After reverting the codes mentioned by comment 27, the smaller icon is shown. Is this a regression or new design? Thanks.  It can be reproduced in MacOSX but Ubuntu.",2016-07-18T08:46:14Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1287384_SRC,"1287384 Incorrect alignment of Summary section in Downloads panel Unspecified Downloads Panel 50 Branch 2016-07-18T08:46:14Z nan [testday-20160826] [good first verify] Created attachment 8771903 Screen Shot 2016-07-18 at 14.43.57.png  Sean Lee [:seanlee][:weilonge]   The attachment is an screenshot for showing a bigger .downloadTypeIcon . After reverting the codes mentioned by comment 27, the smaller icon is shown. Is this a regression or new design? Thanks.  It can be reproduced in MacOSX but Ubuntu. 2016-07-18T08:46:14Z VERIFIED Firefox P1 FIXED normal True BR_1287384_SRC"
1287687,Syncs happen every 90 seconds when stale device records exist.,Unspecified,Sync,48 Branch,2016-07-19T06:25:45Z,,,"Bug 1264498 (landed in 48) made a change to ""stale"" device records were not shown to the user. This patch had the side effect of causing a Sync to happen every 90 seconds when such stale devices exist. The reason is that on every Sync we report that we re-applied those stale devices, causing the scheduler to constantly think we had new incoming items and increase the Sync rate accordingly.  The patch here doesn't actually delete the records locally, but instead adds a ""stale"" flag to them. Functions that expose these device names for the UI now filter based on this flag. The end result is that subsequent Syncs no longer re-apply these records, so Sync settles down to normal.",2016-07-19T06:25:45Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1287687_SRC,"1287687 Syncs happen every 90 seconds when stale device records exist. Unspecified Sync 48 Branch 2016-07-19T06:25:45Z nan nan Bug 1264498 (landed in 48) made a change to ""stale"" device records were not shown to the user. This patch had the side effect of causing a Sync to happen every 90 seconds when such stale devices exist. The reason is that on every Sync we report that we re-applied those stale devices, causing the scheduler to constantly think we had new incoming items and increase the Sync rate accordingly.  The patch here doesn't actually delete the records locally, but instead adds a ""stale"" flag to them. Functions that expose these device names for the UI now filter based on this flag. The end result is that subsequent Syncs no longer re-apply these records, so Sync settles down to normal. 2016-07-19T06:25:45Z RESOLVED Firefox P1 FIXED normal True BR_1287687_SRC"
1287748,"Syncing away from lwtheme updates internal state / add-on manager UI, but not the actual browser",Unspecified,Sync,48 Branch,2016-07-19T12:30:28Z,[sync-quality],,"STR:  0. have machines (a) and (b) set up to sync add-ons and themes, both using the default theme 1. use one of the builtin lwthemes on machine (a). 2. wait for this change to sync to machine (b) (if you like, help it along with some manual syncs. 3. on machine (a), deselect the lwtheme 4. wait for syncs  ER on machine (b): i) the theme changes back to default ii) the add-on manager UI shows the default theme to be enabled  AR: i) the theme is not the default in existing windows (but newly opened windows have the right theme!) ii) the add-on manager UI shows the default theme to be enabled (meaning I can't manually correct this situation).",2016-07-19T12:30:28Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1287748_SRC,"1287748 Syncing away from lwtheme updates internal state / add-on manager UI, but not the actual browser Unspecified Sync 48 Branch 2016-07-19T12:30:28Z [sync-quality] nan STR:  0. have machines (a) and (b) set up to sync add-ons and themes, both using the default theme 1. use one of the builtin lwthemes on machine (a). 2. wait for this change to sync to machine (b) (if you like, help it along with some manual syncs. 3. on machine (a), deselect the lwtheme 4. wait for syncs  ER on machine (b): i) the theme changes back to default ii) the add-on manager UI shows the default theme to be enabled  AR: i) the theme is not the default in existing windows (but newly opened windows have the right theme!) ii) the add-on manager UI shows the default theme to be enabled (meaning I can't manually correct this situation). 2016-07-19T12:30:28Z RESOLVED Firefox P1 FIXED normal True BR_1287748_SRC"
1287823,[Linux] Dragging & dropping a download from the downloads panel on desktop saves a txt file,All,Downloads Panel,48 Branch,2016-07-19T15:16:32Z,[fce-active-legacy],,"[Affected versions]: - 48b9, 50.0a1 (2016-07-19)  [Affected platforms]: - Ubuntu 16.04  [Steps to reproduce]: 1. Open google.com 2. Search for something and save an image from the results 3. Open the downloads panel and drag the saved image to desktop  [Expected result]: - Image saved to desktop properly  [Actual result]: - Text file saved on desktop containing the local path to the image  [Regression range]: - TBD, doesn't reproduce on 47.0.1  [Additional notes]: - seems to be reproducible only on Linux",2016-07-19T15:16:32Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1287823_SRC,"1287823 [Linux] Dragging & dropping a download from the downloads panel on desktop saves a txt file All Downloads Panel 48 Branch 2016-07-19T15:16:32Z [fce-active-legacy] nan [Affected versions]: - 48b9, 50.0a1 (2016-07-19)  [Affected platforms]: - Ubuntu 16.04  [Steps to reproduce]: 1. Open google.com 2. Search for something and save an image from the results 3. Open the downloads panel and drag the saved image to desktop  [Expected result]: - Image saved to desktop properly  [Actual result]: - Text file saved on desktop containing the local path to the image  [Regression range]: - TBD, doesn't reproduce on 47.0.1  [Additional notes]: - seems to be reproducible only on Linux 2016-07-19T15:16:32Z VERIFIED Firefox P1 FIXED normal True BR_1287823_SRC"
1289240,"Services.search.getDefaultEngines() empty, search engine reset triggered when using a language pack",All,Search,49 Branch,2016-07-25T22:32:06Z,[fxsearch],,"Created attachment 8774524 screenshot reset search engine with empty search engine list  Firefox Aurora 49.0a2 20160725004033 on Windows 8.1  Launched Firefox Aurora with a German binary l10n repack https://developer.mozilla.org/en-US/docs/Mozilla/Creating_a_language_pack#L10n_binary_repack and a profile which had previously been used with Aurora in English and a German language pack installed on top.  After the launch of the binary repack, I started a search from the search bar and the search engine reset dialog got triggered and the list of available search engines was empty.  Error console:  Zeitstempel: 26.07.2016 00:07:15 Fehler: TypeError: list.selectedOptions[0] is undefined Quelldatei: chrome://browser/content/search/searchReset.js Zeile: 35  Calling Services.search.getDefaultEngines() in the scratchpad returns an empty list.  Also happens if I go back to the en-US build and install a language pack (had uninstalled the German one while running the German build).  Duplicate of bug 1267719?",2016-07-25T22:32:06Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1289240_SRC,"1289240 Services.search.getDefaultEngines() empty, search engine reset triggered when using a language pack All Search 49 Branch 2016-07-25T22:32:06Z [fxsearch] nan Created attachment 8774524 screenshot reset search engine with empty search engine list  Firefox Aurora 49.0a2 20160725004033 on Windows 8.1  Launched Firefox Aurora with a German binary l10n repack https://developer.mozilla.org/en-US/docs/Mozilla/Creating_a_language_pack#L10n_binary_repack and a profile which had previously been used with Aurora in English and a German language pack installed on top.  After the launch of the binary repack, I started a search from the search bar and the search engine reset dialog got triggered and the list of available search engines was empty.  Error console:  Zeitstempel: 26.07.2016 00:07:15 Fehler: TypeError: list.selectedOptions[0] is undefined Quelldatei: chrome://browser/content/search/searchReset.js Zeile: 35  Calling Services.search.getDefaultEngines() in the scratchpad returns an empty list.  Also happens if I go back to the en-US build and install a language pack (had uninstalled the German one while running the German build).  Duplicate of bug 1267719? 2016-07-25T22:32:06Z RESOLVED Firefox P1 FIXED normal True BR_1289240_SRC"
1289832,Open Link in New *Current Container* missing from context menu when opening about:newtab thumbnails,All,Menus,50 Branch,2016-07-27T16:47:22Z,[userContextId][domsecurity-backlog],,"Created attachment 8775235 issue.png  ""Open Link in New *Current Container*"" is missing from the context menu when right clicking on thumbnails under about:newtab while using containers. This was implemented via bug#1276880 and should be a consistent UX throughout fx. Probably a P3 or higher as it's not a major/critical issue.  STR:  * launch the latest version of m-c * open a new container tab via File -> New Container Tab * right click on any of the thumbnails under the about:newtab page  You'll notice that the ""Open Link in New *Current Container*"" is missing from the context menu.",2016-07-27T16:47:22Z,RESOLVED,Firefox,P2,FIXED,normal,True,BR_1289832_SRC,"1289832 Open Link in New *Current Container* missing from context menu when opening about:newtab thumbnails All Menus 50 Branch 2016-07-27T16:47:22Z [userContextId][domsecurity-backlog] nan Created attachment 8775235 issue.png  ""Open Link in New *Current Container*"" is missing from the context menu when right clicking on thumbnails under about:newtab while using containers. This was implemented via bug#1276880 and should be a consistent UX throughout fx. Probably a P3 or higher as it's not a major/critical issue.  STR:  * launch the latest version of m-c * open a new container tab via File -> New Container Tab * right click on any of the thumbnails under the about:newtab page  You'll notice that the ""Open Link in New *Current Container*"" is missing from the context menu. 2016-07-27T16:47:22Z RESOLVED Firefox P2 FIXED normal True BR_1289832_SRC"
