Feature_Number,Feature_Shortname,Firefox_Version,Firefox_Feature,Feature_Description,Reference,feat_name,feat_desc
11,video_and_canvas_render,49 Branch,Video and Canvas Renderization,Feature of Firefox implemented for rendering of videos and canvas demos in the web browser.,https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API/Manipulating_video_using_canvas,video_and_canvas_render,11 video_and_canvas_render 49 Branch Video and Canvas Renderization Feature of Firefox implemented for rendering of videos and canvas demos in the web browser. https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API/Manipulating_video_using_canvas video_and_canvas_render
12,pointer_lock_api,50 Branch,Pointer Lock API,"The Pointer Lock API (formerly called Mouse Lock API) provides input methods based on the movement of the mouse over time (i.e., deltas), not just the absolute position of the mouse cursor in the viewport. It gives you access to raw mouse movement, locks the target of mouse events to a single element, eliminates limits on how far mouse movement can go in a single direction, and removes the cursor from view. It is ideal for first person 3D games, for example.

More than that, the API is useful for any applications that require significant mouse input to control movements, rotate objects, and change entries, for example allowing users to control the viewing angle simply by moving the mouse around without any button clicking. The buttons are then freed up for other actions. Other examples include apps for viewing maps or satellite imagery.

Pointer lock lets you access mouse events even when the cursor goes past the boundary of the browser or screen. For example, your users can continue to rotate or manipulate a 3D model by moving the mouse without end. Without Pointer lock, the rotation or manipulation stops the moment the pointer reaches the edge of the browser or screen. Game players can now click buttons and swipe the mouse cursor back and forth without worrying about leaving the game play area and accidentally clicking another application that would take mouse focus away from the game.

",https://developer.mozilla.org/en-US/docs/Web/API/Pointer_Lock_API,pointer_lock_api,"12 pointer_lock_api 50 Branch Pointer Lock API The Pointer Lock API (formerly called Mouse Lock API) provides input methods based on the movement of the mouse over time (i.e., deltas), not just the absolute position of the mouse cursor in the viewport. It gives you access to raw mouse movement, locks the target of mouse events to a single element, eliminates limits on how far mouse movement can go in a single direction, and removes the cursor from view. It is ideal for first person 3D games, for example.

More than that, the API is useful for any applications that require significant mouse input to control movements, rotate objects, and change entries, for example allowing users to control the viewing angle simply by moving the mouse around without any button clicking. The buttons are then freed up for other actions. Other examples include apps for viewing maps or satellite imagery.

Pointer lock lets you access mouse events even when the cursor goes past the boundary of the browser or screen. For example, your users can continue to rotate or manipulate a 3D model by moving the mouse without end. Without Pointer lock, the rotation or manipulation stops the moment the pointer reaches the edge of the browser or screen. Game players can now click buttons and swipe the mouse cursor back and forth without worrying about leaving the game play area and accidentally clicking another application that would take mouse focus away from the game.

 https://developer.mozilla.org/en-US/docs/Web/API/Pointer_Lock_API pointer_lock_api"
13,webm_eme,50 Branch,WebM EME support for Widevine,"Encrypted Media Extensions (EME) is a JavaScript API for playing DRMed video content in HTML. A DRM component called a Content Decryption Module (CDM) decrypts, decodes, and displays the video. A JavaScript program coordinates the process using the EME API to pass messages between the CDM and a server that provides decryption keys and content.

Hollywood studios require companies that license movies for streaming use DRM between the streaming company and the end user. On the Web, this has traditionally been done by using the Microsoft PlayReady DRM component inside the Silverlight plug-in or the Adobe Access DRM component inside the Flash Player. As the Web platform gains more capabilities, general purpose plug-ins like Silverlight or Flash can be phased out.

The Widevine Media Optimizer is a browser plugin designed for the viewing of premium video content. The Widevine plugin is commonly used by premium content providers.",https://support.mozilla.org/en-US/kb/enable-drm?as=u&utm_source=inproduct,webm_eme,"13 webm_eme 50 Branch WebM EME support for Widevine Encrypted Media Extensions (EME) is a JavaScript API for playing DRMed video content in HTML. A DRM component called a Content Decryption Module (CDM) decrypts, decodes, and displays the video. A JavaScript program coordinates the process using the EME API to pass messages between the CDM and a server that provides decryption keys and content.

Hollywood studios require companies that license movies for streaming use DRM between the streaming company and the end user. On the Web, this has traditionally been done by using the Microsoft PlayReady DRM component inside the Silverlight plug-in or the Adobe Access DRM component inside the Flash Player. As the Web platform gains more capabilities, general purpose plug-ins like Silverlight or Flash can be phased out.

The Widevine Media Optimizer is a browser plugin designed for the viewing of premium video content. The Widevine plugin is commonly used by premium content providers. https://support.mozilla.org/en-US/kb/enable-drm?as=u&utm_source=inproduct webm_eme"
14,zoom_indicator,51 Branch,Zoom Indicator ,"The Zoom Indicator shows to the user the amount of zoom aplied to the web page. The default value is 100%. This value can go up or dow, depending on the user needs.",https://wiki.mozilla.org/QA/Zoom_Indicator,zoom_indicator,"14 zoom_indicator 51 Branch Zoom Indicator  The Zoom Indicator shows to the user the amount of zoom aplied to the web page. The default value is 100%. This value can go up or dow, depending on the user needs. https://wiki.mozilla.org/QA/Zoom_Indicator zoom_indicator"
15,downloads_dropmaker,51 Branch,Downloads Dropmaker,"The download dropmaker displays the amount of downloads being made, the notifications about the downloads and all the contextual options involving the downloads. ",https://mikeconley.ca/blog/2013/04/02/downloading-stuff-in-firefox-its-better-now/,downloads_dropmaker,"15 downloads_dropmaker 51 Branch Downloads Dropmaker The download dropmaker displays the amount of downloads being made, the notifications about the downloads and all the contextual options involving the downloads.  https://mikeconley.ca/blog/2013/04/02/downloading-stuff-in-firefox-its-better-now/ downloads_dropmaker"
16,webgl2,51 Branch,WebGL2,Incorporation of WebGL2 library to Firefox Browser to extend rendering capabilities.,https://hacks.mozilla.org/2017/01/webgl-2-lands-in-firefox/,webgl2,16 webgl2 51 Branch WebGL2 Incorporation of WebGL2 library to Firefox Browser to extend rendering capabilities. https://hacks.mozilla.org/2017/01/webgl-2-lands-in-firefox/ webgl2
17,flac_support,51 Branch,FLAC support,"FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality. This is similar to how Zip works, except with FLAC you will get much better compression because it is designed specifically for audio, and you can play back compressed FLAC files in your favorite player (or your car or home stereo) just like you would an MP3 file.

FLAC stands out as the fastest and most widely supported lossless audio codec, and the only one that at once is non-proprietary, is unencumbered by patents, has an open-source reference implementation, has a well documented format and API, and has several other independent implementations.",https://wiki.mozilla.org/QA/FLAC_support,flac_support,"17 flac_support 51 Branch FLAC support FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality. This is similar to how Zip works, except with FLAC you will get much better compression because it is designed specifically for audio, and you can play back compressed FLAC files in your favorite player (or your car or home stereo) just like you would an MP3 file.

FLAC stands out as the fastest and most widely supported lossless audio codec, and the only one that at once is non-proprietary, is unencumbered by patents, has an open-source reference implementation, has a well documented format and API, and has several other independent implementations. https://wiki.mozilla.org/QA/FLAC_support flac_support"
18,indicator_device_perm,51 Branch,Indicator for device permissions,The indicator for device permissions displays notifications when the browser needs to access an external device and this requires additional permissions. Devices like cameras and microphones and screen sharing apps use this feature to display notifications about these permissions.,https://support.mozilla.org/en-US/kb/permissions-manager-give-ability-store-passwords-set-cookies-more?redirectlocale=en-US&redirectslug=how-do-i-manage-website-permissions,indicator_device_perm,18 indicator_device_perm 51 Branch Indicator for device permissions The indicator for device permissions displays notifications when the browser needs to access an external device and this requires additional permissions. Devices like cameras and microphones and screen sharing apps use this feature to display notifications about these permissions. https://support.mozilla.org/en-US/kb/permissions-manager-give-ability-store-passwords-set-cookies-more?redirectlocale=en-US&redirectslug=how-do-i-manage-website-permissions indicator_device_perm
19,flash_support,51 Branch,Flash support,"The Adobe Flash Player is commonly used on the web for videos, animations, games, banner ads, and ""utility"" functions not available in standard HTML+JS (like Gmail's file uploader and GitHub's clipboard button).

Mozilla is working on a number of projects to reduce the use of browser plugins like Flash.

Plugins can be responsible for security bugs and instability, and can create a poor user experience for Firefox users. Moving this functionality to open standards can help alleviate these problems across many platforms.",https://wiki.mozilla.org/Flash,flash_support,"19 flash_support 51 Branch Flash support The Adobe Flash Player is commonly used on the web for videos, animations, games, banner ads, and ""utility"" functions not available in standard HTML+JS (like Gmail's file uploader and GitHub's clipboard button).

Mozilla is working on a number of projects to reduce the use of browser plugins like Flash.

Plugins can be responsible for security bugs and instability, and can create a poor user experience for Firefox users. Moving this functionality to open standards can help alleviate these problems across many platforms. https://wiki.mozilla.org/Flash flash_support"
20,notificationbox,65 Branch,<notificationbox> and <notification> changes,"The notificationbox element is used to display notifications above an element. Typically the element will be a browser, but any element may be used. The notification element is used for each notification, and will be created automatically for each item. Each notification will slide in and out as needed. This element is used, for example, to implement the yellow information bar in various Firefox windows.",https://developer.mozilla.org/en-US/docs/Mozilla/Tech/XUL/notificationbox,notificationbox,"20 notificationbox 65 Branch <notificationbox> and <notification> changes The notificationbox element is used to display notifications above an element. Typically the element will be a browser, but any element may be used. The notification element is used for each notification, and will be created automatically for each item. Each notification will slide in and out as needed. This element is used, for example, to implement the yellow information bar in various Firefox windows. https://developer.mozilla.org/en-US/docs/Mozilla/Tech/XUL/notificationbox notificationbox"
21,update_directory,65 Branch,Update Directory,"The Update Directory feature is implemented to facilitate the updating of the Firefox Browser version to the latest one. After one user chooses to update the Firefox Browser in his machine, the new version of Firefox will be downloaded and the new version will be available to all the users through the Update Directory.",https://support.mozilla.org/en-US/kb/update-firefox-latest-version,update_directory,"21 update_directory 65 Branch Update Directory The Update Directory feature is implemented to facilitate the updating of the Firefox Browser version to the latest one. After one user chooses to update the Firefox Browser in his machine, the new version of Firefox will be downloaded and the new version will be available to all the users through the Update Directory. https://support.mozilla.org/en-US/kb/update-firefox-latest-version update_directory"
